dcls_month,fin_co_no,fin_prdt_cd,crdt_prdt_type,kor_co_nm,fin_prdt_nm,join_way,cb_name,crdt_prdt_type_nm,dcls_strt_day,dcls_end_day,fin_co_subm_day
202604,0010001,CR0001A,1,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,일반신용대출,20260417,99991231,202604170849
202604,0010001,CR0001C,2,우리은행,협약금리 外 신용대출상품,"영업점,인터넷,스마트폰",KCB,마이너스한도대출,20260417,99991231,202604170849
202604,0010002,SC001217,1,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",KCB,일반신용대출,20260417,,202604171321
202604,0010002,SC001217_1,2,한국스탠다드차타드은행,개인신용대출,"영업점,스마트폰",KCB,마이너스한도대출,20260417,,202604171321
202604,0010006,WR0002F,3,한국씨티은행,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹),기타",KCB,장기카드대출(카드론),20260421,,202604081459
202604,0010016,WR0001F,1,아이엠뱅크,일반신용대출,"영업점,스마트폰",KCB,일반신용대출,20260420,20260531,202604171537
202604,0010016,WR0002F,2,아이엠뱅크,마이너스한도대출,"영업점,스마트폰",KCB,마이너스한도대출,20260420,20260531,202604171537
202604,0010016,WR0002F,3,아이엠뱅크,장기카드대출,"스마트폰,모집인",NICE,장기카드대출(카드론),20260421,,202604161851
202604,0010017,1300,1,부산은행,ONE신용대출,"영업점,스마트폰",KCB,일반신용대출,20260403,,202604031139
202604,0010017,1301,2,부산은행,ONE신용대출,"영업점,스마트폰",KCB,마이너스한도대출,20260403,,202604031139
202604,0010017,WR0002F,3,부산은행,장기카드대출,"영업점,기타",NICE,장기카드대출(카드론),20260421,,202604101549
202604,0010019,1,1,광주은행,일반신용대출,"영업점,스마트폰",KCB,일반신용대출,20260413,,202604131032
202604,0010019,2,2,광주은행,마이너스한도대출,"영업점,스마트폰",KCB,마이너스한도대출,20260413,,202604131032
202604,0010019,WR0002F,3,광주은행,장기카드대출,"영업점,인터넷,기타",KCB,장기카드대출(카드론),20260421,,202604101107
202604,0010020,WR0001F,1,제주은행,개인신용대출,"영업점,인터넷,스마트폰",NICE,일반신용대출,20260420,,202604171406
202604,0010020,WR0002F,2,제주은행,개인신용대출2,"영업점,인터넷,스마트폰",NICE,마이너스한도대출,20260420,,202604171406
202604,0010022,CR0001A,1,전북은행,가계일반자금대출,영업점,kcb,일반신용대출,20260420,20260519,202604171708
202604,0010022,CR0001C,2,전북은행,평생종합통장,영업점,kcb,마이너스한도대출,20260420,20260519,202604171708
202604,0010022,WR0002F,3,전북은행,장기카드대출,영업점,NICE,장기카드대출(카드론),20260421,,202604131346
202604,0010024,CR0001A,1,경남은행,일반신용대출,"영업점,스마트폰",KCB,일반신용대출,20260417,,202604171332
202604,0010024,CR0001B,2,경남은행,마이너스한도대출,"영업점,스마트폰",KCB,마이너스한도대출,20260417,,202604171332
202604,0010024,WR0002F,3,경남은행,장기카드대출,"영업점,인터넷,스마트폰,전화(텔레뱅킹),기타",KCB,장기카드대출(카드론),20260421,,202604141008
202604,0010026,21,1,중소기업은행,"일반신용
대출","영업점,스마트폰,모집인",NICE,일반신용대출,20260416,20270416,202604161420
202604,0010026,31,2,중소기업은행,"마이너스
한도대출","영업점,스마트폰,모집인",NICE,마이너스한도대출,20260416,20270416,202604161420
202604,0010026,WR0002F,3,중소기업은행,장기카드대출,"인터넷,스마트폰,전화(텔레뱅킹)",KCB,장기카드대출(카드론),20260421,,202604171034
