dcls_month,fin_co_no,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,loan_inci_expn,erly_rpay_fee,dly_rate,loan_lmt,dcls_strt_day,dcls_end_day,fin_co_subm_day
202604,0010001,1054,우리은행,우리아파트론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.71%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.95%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20260420,20270419,202604201127
202604,0010001,1055,우리은행,우리부동산론,"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 국민주택채권 매입 : 대출금액 × 120% × 1% × 채권할인율","- 고정금리 : 중도상환대출금×0.71%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.95%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",LTV 70%,20260420,20270419,202604201127
202604,0010002,SC002111SC002015,한국스탠다드차타드은행,주택담보대출,"영업점,스마트폰","인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음)
국민주택채권 매입 : 대출금액 * 110% * 1% * 채권할인율
화재보험료 : 아파트 및 주거용 오피스텔 외 물건지에 한함","조기상환원금 × 0.4% × [(3년-대출경과일수) / 3년]
매년 대출잔액의 10% 까지 중도상환수수료 면제","대출금리 + 연 3%
(최고 연체이자율 : 연 15%)",LTV 최대 80%,20260417,,202604171321
202604,0010016,20283701000001001,아이엠뱅크,장기모기지론-코픽스6개월변동(생활),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20260420,20260531,202604171536
202604,0010016,2028377B000001001,아이엠뱅크,장기모기지론_금융채5년변동(생활),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20260420,20260531,202604171536
202604,0010016,2028377B001162002,아이엠뱅크,IM주택담보대출_금융채5년변동(생활),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20260420,20260531,202604171536
202604,0010016,20461501000001001,아이엠뱅크,장기모기지론-코픽스6개월변동(구입),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.51%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20260420,20260531,202604171536
202604,0010016,2046157B000001001,아이엠뱅크,장기모기지론_금융채5년변동(구입),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20260420,20260531,202604171536
202604,0010016,2046157B001162002,아이엠뱅크,IM주택담보대출_금융채5년변동(구입),"영업점,모집인","1.인지세:해당세액의 50%
2.국민주택채권매입비용 : 대출금액×115%×1%×채권할인율",중도상환대출금액×0.65%×(3년-대출경과일수)÷3년(일수),"○ 대출이자율 + 3.0%
○ 최고 연체이자율 : 15.0%",담보인정비율(LTV) 70%,20260420,20260531,202604171536
202604,0010017,0519,부산은행,BNK행복스케치 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 1.40%, 변동금리 0.66%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20260403,,202604031139
202604,0010017,0599,부산은행,BNK357금리안심모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 1.40%, 변동금리 0.66%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20260403,,202604031139
202604,0010017,0718,부산은행,BNK금리상한 모기지론,"영업점,인터넷,스마트폰,모집인","1. 인지세 : 해당세액의 50%
2. 국민주택채권 매입비용 : 
대출금액 X 110 ~ 120% X 1% X 채권할인율","중도상환금액 X 중도상환수수료율(고정리 1.40%, 변동금리 0.66%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",지역에 따라 담보인정비율(LTV) 최대 80% 이내,20260403,,202604031139
