dcls_month,fin_co_no,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,loan_inci_expn,erly_rpay_fee,dly_rate,loan_lmt,dcls_strt_day,dcls_end_day,fin_co_subm_day
202604,0010001,10561,우리은행,우리전세론(주택금융보증),"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 보증료","- 고정금리 : 중도상환대출금×0.76%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.35%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",최대4.44억원,20260420,20270419,202604201127
202604,0010001,10562,우리은행,우리전세론(서울보증),"영업점,모집인","- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)
- 질권설정, 채권양도통지 비용 : 3만원","- 고정금리 : 중도상환대출금×0.76%×잔존기간÷대출기간
- 변동금리 : 중도상환대출금×0.35%×잔존기간÷대출기간","- 적용금리+ 3%
(가계대출 최고연체이자율 : 12%)",최대5억원,20260420,20270419,202604201127
202604,0010002,SC002013SC002003,한국스탠다드차타드은행,전세담보대출,"영업점,스마트폰",인지세 : 해당세액의 50% (대출금액 5천만원 이하 시 없음),중도상환금액× 0.2%× (대출잔여일수 ÷ 대출기간 총일수),"대출금리 + 연 3%
(최고 연체이자율 : 연 15%)",최대 5억원,20260417,,202604171321
202604,0010016,20460801000001001,아이엠뱅크,DGB 전세자금대출,"영업점,모집인","1. 인지세 : 해당세액의 50%
2. 주택금융보증료 : 연 0.12% ~ 0.40%","중도상환대출금액×(고정금리:0.57, 변동금리:0.47)%×(대출잔여일수 ÷ 3년)","○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%",440백만원,20260420,20260531,202604171536
202604,0010016,20460801000001002,아이엠뱅크,무방문전세자금대출(주택금융공사),"영업점,모집인","1. 인지세 : 해당세액의 50%
2. 질권설정통지수수료 :30,000원","중도상환대출금액×(고정금리:0.57, 변동금리:0.47)%×(대출잔여일수 ÷ 3년)","○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%",220백만원,20260420,20260531,202604171536
202604,0010016,20466201000001001,아이엠뱅크,DGB POWER 전세보증대출,"영업점,모집인","1. 인지세 : 해당세액의 50%
2. 질권설정통지수수료 :30,000원","중도상환대출금액×(고정금리:0.57, 변동금리:0.47)%×(대출잔여일수 ÷ 3년)","○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%",500백만원,20260420,20260531,202604171536
202604,0010016,20466201000001002,아이엠뱅크,무방문전세자금대출,"영업점,모집인","1. 인지세 : 해당세액의 50%
2. 질권설정통지수수료 :30,000원","중도상환대출금액×(고정금리:0.57, 변동금리:0.47)%×(대출잔여일수 ÷ 3년)","○ 대출이자율 + 3.0%
○ 최고 연체이자율: 15.0%",500백만원,20260420,20260531,202604171536
202604,0010017,1029,부산은행,BNK전세안심대출,"영업점,모집인","1. 인지세 : 50%
2. 보증료 : 보증금액의 최대 0.211%","중도상환금액 X 중도상환수수요율(고정금리 0.78%, 변동금리 0.54%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",최대400백만원,20260403,,202604031139
202604,0010017,126,부산은행,BNK행복스케치전세자금대출,"영업점,모집인","1. 인지세 : 50%
2. 보증료 : 보증금액의 최대 0.40%","중도상환금액 X 중도상환수수요율(고정금리 0.78%, 변동금리 0.54%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",최대444백만원,20260403,,202604031139
202604,0010017,486,부산은행,BNK프리미엄전세자금대출,"영업점,모집인","1. 인지세 : 50%
2. 질권설정통지비용 : 30,000원","중도상환금액 X 중도상환수수요율(고정금리 0.78%, 변동금리 0.54%) X (대출잔여일수 ÷ 대출기간*)
*대출기간이 3년을 초과하는 경우 3년","대출금리+3.0%
(최고 15.0%)",최대500백만원,20260403,,202604031139
202604,0010019,LN11010001072,광주은행,청년맞춤형 전월세보증금 대출,영업점,"1. 인지대 : 50%
2. 한국주택금융공사 보증료",면제,적용금리 + 3% (최고 15%),2억원,20260420,20260531,202604171040
202604,0010020,14201126,제주은행,주택전세자금대출,영업점,인지세 50%,중도상환금액×0.9%×대출잔여일수/대출기간,"적용금리+3%
최고적용 15%",임차보증금의 80%범위내,20260420,,202604171405
202604,0010020,14201127,제주은행,JJB일반전세자금대출,영업점,"주택금융공사 보증료 0.4%, 인지세 50%",중도상환금액×0.9%×대출잔여일수/대출기간,"적용금리+3%
최고적용 15%",임차보증금의 80% 범위내 최고 444백만원,20260420,,202604171405
202604,0010022,WR0001A,전북은행,BEST전세자금대출,영업점,인지세,"상환금액×수수료율(잔여일 1년미만 0.8%, 1년초과 1.8%)×대출잔여일수÷대출기간(최장 3년)","대출금리+3%
(최고 연체이자율:15%)","최저 1천만원, 최고 5억원 이내",20260420,20260519,202604171700
202604,0010022,WR0001B,전북은행,JB전세자금대출,영업점,인지세,"상환금액×수수료율(변동금리 0.8%, 고정금리 1.0%)×대출잔여일수÷대출기간(최장 3년)","대출금리+3%
(최고 연체이자율:15%)","최저 5백만원, 최고 5억원 이내",20260420,20260519,202604171700
202604,0010024,30002152,경남은행,전세자금대출(주택금융공사),영업점,"인지세: 대출금액 구간별 해당 세액의 50%
[대출금 5천만원 미만시 면제]",없음,대출금리+3.0%,최대4.44억원,20260417,,202604171332
202604,0010024,30002257,경남은행,"모바일전세자금대출
(주택금융공사)",영업점,"인지세: 대출금액 구간별 해당 새액의 50%
[대출금 5천만원 미만시 면제]",없음,대출금리+3.0%,최대4.44억원,20260417,,202604171332
202604,0010024,30002573,경남은행,고정금리 전세자금대출(주택금융공사),영업점,"인지세: 대출금액 구간별 해당 세액의 50%
[대출금 5천만원 미만시 면제]",없음,대출금리+3.0%,최대4억원,20260417,,202604171332
202604,0010024,30002608,경남은행,모바일전세자금대출(서울보증보험),영업점,"인지세: 대출금액 구간별 해당 새액의 50%
[대출금 5천만원 미만시 면제]",없음,대출금리+3.0%,최대5억원,20260417,,202604171332
202604,0010026,212020007,중소기업은행,IBK전세대출 (HF),"영업점,모집인","인지세 : 해당세액의 50%(대출금액 5천만원 미만시 없음)
주택신보 보증료","중도상환금액 x 수수료율* x (대출잔여일수 ÷ 대출기간)
  * 고정금리 0.70%, 변동금리 0.57%",대출금리 + 3.0%(최고 연체이자율 : 11%),최대 2.2억원,20260416,20270416,202604161420
202604,0010026,212020111,중소기업은행,IBK전세대출 (SGI),"영업점,모집인","인지세 : 해당세액의 50%(대출금액 5천만원 미만시 없음)
질권설정 통지비용","중도상환금액 x 수수료율* x (대출잔여일수 ÷ 대출기간)
  * 고정금리 0.70%, 변동금리 0.57%",대출금리 + 3.0%(최고 연체이자율 : 11%),최대 5억원,20260416,20270416,202604161420
202604,0010026,212020112,중소기업은행,IBK전세대출 (HUG),"영업점,모집인","인지세 : 해당세액의 50%(대출금액 5천만원 미만시 없음)
질권설정 통지비용","중도상환금액 x 수수료율* x (대출잔여일수 ÷ 대출기간)
  * 고정금리 0.70%, 변동금리 0.57%",대출금리 + 3.0%(최고 연체이자율 : 11%),최대 4억원,20260416,20270416,202604161420
202604,0010927,KB200331500005,국민은행,KB주택전세자금대출,"영업점,모집인","ㅇ 인지세 : 해당세액의 50%
ㅇ 주택신보 보증료",중도상환금액 × 0.54% × (대출잔여일수 ÷ 3년),"대출금리+3.0%
최고연체이자율:15%",4.44억원,20260420,,202604161256
202604,0010927,KB200400000001,국민은행,KB플러스전세자금대출,"영업점,모집인","ㅇ 인지세 : 해당세액의 50%
ㅇ 질권 설정 통지수수료 : 3만원",중도상환금액 × 0.54% × (대출잔여일수 ÷ 3년),"대출금리+3.0%
최고연체이자율:15%",5억원,20260420,,202604161256
202604,0011625,WR0001A,신한은행,신한전세대출(주택금융공사),"영업점,모집인","- 질권설정통지수수료
- 인지세 : 해당세액의 50%(대출금액 5천만원 이하시 없음)","-중도상환해약금:중도상환대출금*중도상환해약금률(고정금리0.74%, 변동금리0.72%)*(대출잔여일수/대출기간)","-1개월이내: 대출금리+3%
-3개월이내: 대출금리+3%
-3개월초과: 대출금리+3%(최고 연체이자율 :15%)",- 최대:444백만원,20260416,,202604161513
202604,0011625,WR0002B,신한은행,신한전세대출(서울보증),"영업점,모집인","- 질권설정통지수수료
- 인지세 : 해당세액의 50%(대출금액 5천만원이하시 없음)","-중도상환해약금:중도상환대출금*중도상환해약금률(고정금리0.74%, 변동금리0.72%)*(대출잔여일수/대출기간)","-1개월이내: 대출금리+3%
-3개월이내: 대출금리+3%
-3개월초과: 대출금리+3%(최고 연체이자율 :15%)",- 최대:500백만원,20260416,,202604161513
