dcls_month,fin_co_no,fin_prdt_cd,kor_co_nm,fin_prdt_nm,join_way,mtrt_int,spcl_cnd,join_deny,join_member,etc_note,max_limit,dcls_strt_day,dcls_end_day,fin_co_subm_day
202604,0010001,WR0001F,우리은행,우리SUPER주거래적금,"영업점,인터넷,스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기적금 금리","1. 거래실적 인정기간 동안 우리은행 입출식 계좌에서 아래 각 항목별 실적이 있는 월 수가 계약기간의 1/2이상인 경우
가. 급여/연금 이체 : 연 0.7%p
나. 공과금 자동이체 출금 실적 : 0.3%p
다. 우리카드사 신용/체크카드 결제금액 10만원 이상 출금 : 연 0.3%p
2. 우리은행 상품서비스 마케팅 동의 항목 중 전화(휴대폰) 및 SMS항목을 모두 동의한 후 만기해지시점까지 유지 : 연 0.1%p
3. 이 상품 가입 시 금리우대쿠폰을 적용한 경우",1,실명의 개인,"1. 가입기간 : 1년/2년/3년
2. 가입금액 : 월 50만원 이내",,20260420,,202604200953
202604,0010001,WR0001L,우리은행,WON적금,"스마트폰,전화(텔레뱅킹)","만기 후
- 1개월이내 : 만기시점약정이율×50%
- 1개월초과 6개월이내: 만기시점약정이율×30%
- 6개월초과 : 만기시점약정이율×20%

※ 만기시점 약정이율 : 일반정기적금 금리","1. 아래 각 항(가, 나)의 조건을 충족하는 경우 합산 최대 연 0.2%p 우대
가. 이 적금을 우리꿈통장, WON통장에 연결하여 가입하는 경우 : 0.1%p
나. 우리 오픈뱅킹 서비스에 타행계좌가 등록되어 있는 경우 : 연 0.1%p",1,실명의 개인,"1. 가입기간 : 1년
2. 가입금액 : 월 50만원 이내",,20260420,,202604200953
202604,0010002,00266451,한국스탠다드차타드은행,퍼스트가계적금,"영업점,인터넷,스마트폰","만기 후 1개월: 약정이율의 50%
만기 후 1개월 초과 1년 이내: 약정이율의 30%
만기 후 1년 초과: 약정이율의 10%",없음,1,개인(개인사업자 포함),해당없음,10000000.0,20260420,99991231,202604200949
202604,0010016,10521001001166004,아이엠뱅크,iM함께적금,"영업점,인터넷,스마트폰","만기 후 1개월 미만 경과: 약정이자율 x 50%
만기 후 3개월 미만 경과: 약정이자율 x 25%
만기 후 3개월 이상 경과: 약정이자율 x 10%","*최고우대금리:연0.85%p
-전월 총수신 평잔 30만원 이상 또는 첫만남플러스통장 보유:연0.10%p
-당행 주택청약상품 보유 
-신규일 ""iM함께예금"" 동시 가입 및 만기 보유 
각 연0.20%p
-당행 오픈뱅킹서비스에 다른 은행 계좌 등록:연0.30%p                       
*해당 상품을 인터넷/모바일뱅킹을 통해 가입:연0.05%p",1,실명의 개인 및 개인사업자,계좌당 가입 최저한도 : 10만원,,20260420,,202604200901
202604,0010017,01020400490002,부산은행,펫 적금,"영업점,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","*우대이율 6개월제 최대 0.55%, 12개월제 최대 0.90%",1,실명의 개인고객(1인 1계좌),"1. 가입한도: 월 1만원 이상 50만원 이하 원단위
2. 정기적립식",500000.0,20260420,,202604201326
202604,0010017,01020400510001,부산은행,저탄소 실천 적금,"영업점,인터넷,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","조건 달성여부에 따라 우대금리 적용
*개인형 우대이율: 최대0.5%
*기업형(개인사업자 및 법인)우대이율: 최대0.4%",1,제한없음,"1. 가입한도: 월 1만원 이상 1천만원 이하 원단위 (월 1천만원 이하 불입 가능)
2. 자유적립식",10000000.0,20260420,,202604201326
202604,0010017,01020400530001,부산은행,"BNK내맘대로 
적금","영업점,인터넷,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","*우대이율 최대 0.2%
- 신규시 우대이율 0.05% 및 해지시 우대이율 최대 0.15%",1,제한없음,"1. 가입금액 :  1천원 이상
2. 가입기간 :  6개월 이상 60개월 이하(일단위)
3. 자유적립식",,20260420,,202604201326
202604,0010017,01020400660001,부산은행,"부산이라 좋다
Big적금",스마트폰,"- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","*우대이율 6개월 미만 최대2.00%, 6개월 이상 2.20%",1,만 14세이상 실명의 개인고객(1인 1계좌),"1. 가입한도: 월 1천원 이상 100만원 이하 원단위
2. 자유적립식",1000000.0,20260420,,202604201326
202604,0010017,01020400700001,부산은행,Only One 주거래 우대적금,"영업점,스마트폰","- 만기후 1년이내:가입기간별 일반정기적금 기본이율 x 50%
- 만기후 1년초과:가입기간별 일반정기적금 기본이율 x 20%","* 우대이율 최대 2.5%
- 공통 우대이율 최대 2%
- 가입자격별 우대이율 최대 0.5%",1,만14세 이상 실명의 개인(1인 1계좌),"1.가입금(적립)금액 : 월 1천원 이상 50만원 이하
2. 가입기간 : 12개월",500000.0,20260420,,202604201326
202604,0010019,TD11330029000,광주은행,해피라이프_여행스케치적금V,"영업점,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 
*만기후 1개월 초과: 0.1%","▶ 최고우대금리 1.20%p  
①해피라이프_여행스케치외화적금V 동일자가입 0.5%p 
②해지원금 기준 500만원이상 : 최고0.2%p
③신용(체크)카드사용실적300만원이상:최고 0.3%p
④개인(신용)정보 동의: 0.2%p",1,"제한없음(단,국가및지방자치단체제외)","1. 가입기간 : 6개월이상 3년제
2. 가입금액 : 월5만원 이상 5백만원 이하 (1인1계좌)",5000000.0,20260420,,202604201109
202604,0010019,TD11330030000,광주은행,여행스케치_남도투어적금,"영업점,스마트폰","만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 
만기후 1개월 초과: 0.1%","▶ 최고우대금리 1.9%p 
①예금가입일~만기일전일까지 당행이선정한 전라남도 관광지 방문 인증시 : 최고 1.5%p
②신용(체크)카드사용실적300만원이상:최고 0.3%p
③개인(신용)정보 동의: 0.1%p",1,만14세이상 개인 및 개인사업자,"1. 가입기간 :12개월제,18개월제
2. 가입금액 : 월 5만원 이상 1백만원 이하 (1인1계좌)
※ 18개월 정액식 기본금리 3.3%, 최고금리 5.2%",1000000.0,20260420,,202604201109
202604,0010019,TD11330031000,광주은행,VIP플러스적금,"영업점,인터넷,스마트폰","*만기후 1개월 이내: 만기일 당시 최초 가입 기간별 고시금리의 1/2 
*만기후 1개월 초과: 0.1%","▶ 최고우대금리 0.50%p  
①이 예금가입시 VIP고객이거나 가입일 이후부터 만기일전일까지 VIP고객에 선정된 경험이 있는 경우 : 0.3%p 
②이 예금 가입일에 정기예금 500만원이상(만기 1년이상) 가입하고 만기일 전일까지 유지한 경우 : 0.2%p",1,실명의 개인,"1. 가입기간 : 1년제
2. 가입금액 : 월10만원 이상 5백만원 이하 (1인1계좌)",5000000.0,20260420,,202604201109
202604,0010020,220002101,제주은행,jbank 저금통적금,"인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","* 거래조건에 따라 최고 2.1%p 우대금리 적용
① 자투리 출금계좌 평잔 50만원 이상 유지 : 0.8%p
② 첫거래고객 or JBANK저금통적금 1개월 내 재신규 : 0.5%p
③ 신규가입 시점에서 적금 목표금액 최소 30만원 이상 설정하고, 적금 신규일로부터 3개월 내 잔액이 목표금액 이상인 경우 :0.5%p
④ 추천인 우대금리 : 0.30%p",1,개인 및 개인사업자,월 납입한도 50만원 이하,500000.0,20260420,,202604200901
202604,0010020,220002501,제주은행,MZ 플랜적금,"영업점,인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","①매월 1회이상 지속적 납입시:1년제: 0.50%
② 목표 금액 달성:0.50%
③ 신용카드,체크카드 합산 사용액 월10만원 이상 사용: 0.50%
* 청년이니까응원합니다 이벤트 : 0.50%",1,개인 및 개인사업자,월 납입한도 30만원 이하,300000.0,20260420,,202604200901
202604,0010020,220002701,제주은행,사이버우대매일부금,"인터넷,스마트폰","- 만기후 1개월 이내 : (일반)정기적금 기본이자율의 50%
(단, 최저금리 0.1%)
- 만기후 1개월 초과 3개월 이내 : (일반)정기적금 기본이자율의 25%
(단, 최저금리 0.1%)
- 만기후 3개월 초과 : 0.1%","최고 0.4%p 추가 우대금리 제공
1. 비대면채널 신규시 0.1%p
2. 아래의 조건 충족시 0.3%p 추가 우대금리 제공
①탐나는 J 직장인통장
②탐나는 J 주거래통장
가입고객이 기본우대 요건 충족 후 이 상품 가입시 0.1%p
③달리자 파킹통장 가입 고객이 이 상품 가입시 0.3%p
(단, ①, ②, ③항은 중복적용 불가)",1,개인 및 개인사업자,"가입 최소금액 1천원 이상,
매 입금별 1천원 이상",,20260420,,202604200901
202604,0010022,10-01-30-031-0018-0000,전북은행,JB 다이렉트적금(자유적립식),"인터넷,스마트폰","√만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(자유적립식) 실행이율의 1/2
√만기후 1개월초과 경과분 : 연 0.1%","추가우대금리 :
당행 계좌간 자동이체를 통해 이 예금으로 자동이체 된 금액에 0.1% 금리 우대",1,실명의 개인 및 개인사업자(임의단체 제외),"1. 초회불입금 1만원이상, 1인당 월별 최고 1천만원이내
2. 만기직전 1개월간 적립합계는 이전기간 적립금액을 초과할 수 없음
3. 인터넷뱅킹/스마트폰뱅킹 가입상품",10000000.0,20260420,,202604201259
202604,0010022,10-01-30-031-0036,전북은행,JB 다이렉트적금(정액적립식),"인터넷,스마트폰","√만기후 1개월이내 경과분 : 만기일 현재 계약기간별 정기적금(정액적립식) 실행이율의 1/2
√만기후 1개월초과 경과분 : 연 0.1%","추가우대금리 :
당행 계좌간 자동이체를 통해 6회이상 입금한 경우 
연 0.1% 금리우대",1,실명의 개인 및 개인사업자(임의단체 제외),"1. 초회불입금 1만원이상, 1인당 월별 최고 5백만원이내
2. 인터넷뱅킹/스마트폰뱅킹 가입상품",5000000.0,20260420,,202604201259
